OpenROAD 0f2a615939f8b12fce4f3b3bd1660fb0de68bcff 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 32 thread(s).
source /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/liberty_suppressions.tcl
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_AO_RVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_INVBUF_RVT_FF_nldm_220122.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_OA_RVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SIMPLE_RVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SEQ_RVT_FF_nldm_220123.lib
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_AO_LVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_INVBUF_LVT_FF_nldm_220122.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_OA_LVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SIMPLE_LVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SEQ_LVT_FF_nldm_220123.lib
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_AO_SLVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_INVBUF_SLVT_FF_nldm_220122.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_OA_SLVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SIMPLE_SLVT_FF_nldm_211120.lib.gz
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_SEQ_SLVT_FF_nldm_220123.lib
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/fakeram7_64x256.lib
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/fakeram7_128x64.lib
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/fakeram7_64x28.lib
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/fakeram7_64x25.lib
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_DFFHQNH2V2X_RVT_TT_nldm_FAKE.lib
read_liberty /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/lib/NLDM/asap7sc7p5t_DFFHQNV2X_RVT_TT_nldm_FAKE.lib
read_db ./results/asap7/cva6/baseline_alpha_16-beta_0.1/3_3_place_gp.odb
source /home/lucast/workspace/OR-flow-TCC/flow/platforms/asap7/setRC.tcl
estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    117970
     1000 |     +0.0% |       0 |       0 |             0 |    116970
     2000 |     +0.0% |       0 |       0 |             0 |    115970
     3000 |     +0.0% |       0 |       0 |             0 |    114970
     4000 |     +0.0% |       0 |       0 |             0 |    113970
     5000 |     +0.0% |       0 |       0 |             0 |    112970
     6000 |     +0.0% |       0 |       0 |             0 |    111970
     7000 |     +0.0% |       0 |       0 |             0 |    110970
     8000 |     +0.0% |       0 |       0 |             0 |    109970
     9000 |     +0.0% |       0 |       0 |             0 |    108970
    10000 |     +0.0% |       0 |       0 |             0 |    107970
    11000 |     +0.0% |       0 |       0 |             0 |    106970
    12000 |     +0.0% |       0 |       0 |             0 |    105970
    13000 |     +0.0% |       0 |       0 |             0 |    104970
    14000 |     +0.0% |       0 |       0 |             0 |    103970
    15000 |     +0.0% |       0 |       0 |             0 |    102970
    16000 |     +0.0% |       0 |       0 |             0 |    101970
    17000 |     +0.0% |       0 |       0 |             0 |    100970
    18000 |     +0.0% |       0 |       0 |             0 |     99970
    19000 |     +0.0% |       0 |       0 |             0 |     98970
    20000 |     +0.0% |       0 |       0 |             0 |     97970
    21000 |     +0.0% |       0 |       0 |             0 |     96970
    22000 |     +0.0% |       0 |       0 |             0 |     95970
    23000 |     +0.0% |       0 |       0 |             0 |     94970
    24000 |     +0.0% |       0 |       0 |             0 |     93970
    25000 |     +0.0% |       0 |       0 |             0 |     92970
    26000 |     +0.0% |       0 |       0 |             0 |     91970
    27000 |     +0.0% |       0 |       0 |             0 |     90970
    28000 |     +0.0% |       0 |       0 |             0 |     89970
    29000 |     +0.0% |       0 |       0 |             0 |     88970
    30000 |     +0.0% |       0 |       0 |             0 |     87970
    31000 |     +0.0% |       0 |       0 |             0 |     86970
    32000 |     +0.0% |       0 |       0 |             0 |     85970
    33000 |     +0.0% |       0 |       0 |             0 |     84970
    34000 |     +0.0% |       0 |       0 |             0 |     83970
    35000 |     +0.0% |       0 |       0 |             0 |     82970
    36000 |     +0.0% |       0 |       0 |             0 |     81970
    37000 |     +0.0% |       0 |       0 |             0 |     80970
    38000 |     +0.0% |       0 |       0 |             0 |     79970
    39000 |     +0.0% |       0 |       0 |             0 |     78970
    40000 |     +0.0% |       0 |       0 |             0 |     77970
    41000 |     +0.0% |       0 |       0 |             0 |     76970
    42000 |     +0.0% |       0 |       0 |             0 |     75970
    43000 |     +0.0% |       0 |       0 |             0 |     74970
    44000 |     +0.0% |       0 |       0 |             0 |     73970
    45000 |     +0.0% |       0 |       0 |             0 |     72970
    46000 |     +0.0% |       0 |       0 |             0 |     71970
    47000 |     +0.0% |       0 |       0 |             0 |     70970
    48000 |     +0.0% |       0 |       0 |             0 |     69970
    49000 |     +0.0% |       0 |       0 |             0 |     68970
    50000 |     +0.0% |       0 |       0 |             0 |     67970
    51000 |     +0.0% |       0 |       0 |             0 |     66970
    52000 |     +0.0% |       0 |       0 |             0 |     65970
    53000 |     +0.0% |       0 |       0 |             0 |     64970
    54000 |     +0.0% |       0 |       0 |             0 |     63970
    55000 |     +0.0% |       0 |       0 |             0 |     62970
    56000 |     +0.0% |       0 |       0 |             0 |     61970
    57000 |     +0.0% |       0 |       0 |             0 |     60970
    58000 |     +0.0% |       0 |       0 |             0 |     59970
    59000 |     +0.0% |       0 |       0 |             0 |     58970
    60000 |     +0.0% |       0 |       0 |             0 |     57970
    61000 |     +0.0% |       0 |       0 |             0 |     56970
    62000 |     +0.0% |       0 |       0 |             0 |     55970
    63000 |     +0.0% |       0 |       0 |             0 |     54970
    64000 |     +0.0% |       0 |       0 |             0 |     53970
    65000 |     +0.0% |       0 |       0 |             0 |     52970
    66000 |     +0.0% |       0 |       0 |             0 |     51970
    67000 |     +0.0% |       0 |       0 |             0 |     50970
