metric,baseline,theirs α=0 (%),ours α=0 (%),theirs α=1 (%),ours α=1 (%),theirs α=2 (%),ours α=2 (%),theirs α=3 (%),ours α=3 (%),theirs α=4 (%),ours α=4 (%),theirs α=8 (%),ours α=8 (%),theirs α=10 (%),ours α=10 (%),theirs α=16 (%),ours α=16 (%),theirs α=67 (%),ours α=67 (%),theirs α=130 (%),ours α=130 (%),theirs α=193 (%),ours α=193 (%),theirs α=256 (%),ours α=256 (%)
seq_cells,562,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
internal_power,0.0672631,5.6,,5.6,,5.6,,5.6,,5.6,,5.6,,5.6,,5.6,,5.6,,5.6,,5.6,,5.6,
switching_power,0.098881,2.12,,2.12,,2.12,,2.12,,2.12,,2.12,,2.12,,2.12,,2.12,,2.12,,2.12,,2.12,
leakage_power,1.18755e-06,5.53,,5.53,,5.53,,5.53,,5.53,,5.53,,5.53,,5.53,,5.53,,5.53,,5.53,,5.53,
total_power,0.166145,3.53,,3.53,,3.53,,3.53,,3.53,,3.53,,3.53,,3.53,,3.53,,3.53,,3.53,,3.53,
setup_tns,-103.069,116.93,,116.93,,116.93,,116.93,,116.93,,116.93,,116.93,,116.93,,116.93,,116.93,,116.93,,116.93,
hold_tns,0,,,,,,,,,,,,,,,,,,,,,,,,
setup_ws,-10.2587,25.71,,25.71,,25.71,,25.71,,25.71,,25.71,,25.71,,25.71,,25.71,,25.71,,25.71,,25.71,
hold_ws,10.4851,24.51,,24.51,,24.51,,24.51,,24.51,,24.51,,24.51,,24.51,,24.51,,24.51,,24.51,,24.51,
clk_buffers,46,6.52,,6.52,,6.52,,6.52,,6.52,,6.52,,6.52,,6.52,,6.52,,6.52,,6.52,,6.52,
area,1838.64,4.44,,4.44,,4.44,,4.44,,4.44,,4.44,,4.44,,4.44,,4.44,,4.44,,4.44,,4.44,
