experiment,config,1bit,2bit,4bit
aes,base,562,0,0
aes-mbff-criticality-continuous,alpha_130-beta_0.1,30,10,128
aes-mbff-criticality-continuous,alpha_16-beta_0.1,48,17,120
aes-mbff-criticality-continuous,alpha_193-beta_0.1,30,10,128
aes-mbff-criticality-continuous,alpha_2-beta_0.1,496,15,9
aes-mbff-criticality-continuous,alpha_256-beta_0.1,30,10,128
aes-mbff-criticality-continuous,alpha_4-beta_0.1,250,30,63
aes-mbff-criticality-continuous,alpha_67-beta_0.1,30,10,128
aes-mbff-criticality-continuous,alpha_8-beta_0.1,96,29,102
aes-mbff-customized-lib,alpha_16-beta_0.1,62,12,119
aes-mbff-customized-lib,alpha_193-beta_0.1,42,10,125
aes-mbff-customized-lib,alpha_2-beta_0.1,514,8,8
aes-mbff-customized-lib,alpha_256-beta_0.1,42,10,125
aes-mbff-customized-lib,alpha_4-beta_0.1,298,20,56
aes-mbff-customized-lib,alpha_67-beta_0.1,42,10,125
aes-mbff-customized-lib,alpha_8-beta_0.1,142,20,95
