design,flow,switching_power,switching_power_%,tot_power,tot_power_%,#1-bit FFs,#2-bit FFs,#4-bit FFs,#clk bufs,#clk bufs_%,WNS,WNS_%,TNS,TNS_%,area,area_%,WL,WL_%,#inst,#inst_%
gcd,NC,0.000323259,0.0,0.00091847,0.0,35,0,0,8,0.0,-16.7041,-0.0,-79.1981,-0.0,48.3473,0.0,875,0.0,468,0.0
gcd,SFTray alpha_2-beta_0.1,0.000324963,0.53,0.000941259,2.48,31,2,0,8,0.0,-25.5887,53.19,-154.406,94.96,49.1492,1.66,891,1.83,473,1.07
gcd,Ours alpha_2-beta_0.1,0.000315306,-2.46,0.000884771,-3.67,33,1,0,7,-12.5,-22.9338,37.29,-122.621,54.83,47.8516,-1.03,857,-2.06,464,-0.85
gcd,SFTray alpha_4-beta_0.1,0.000293222,-9.29,0.000831114,-9.51,13,3,4,4,-50.0,-30.9364,85.2,-242.927,206.73,47.8224,-1.09,874,-0.11,450,-3.85
gcd,Ours alpha_4-beta_0.1,0.000298484,-7.66,0.000834642,-9.13,21,3,2,4,-50.0,-34.8767,108.79,-247.701,212.76,47.2392,-2.29,857,-2.06,450,-3.85
gcd,SFTray alpha_8-beta_0.1,0.000287228,-11.15,0.000818445,-10.89,5,3,6,4,-50.0,-29.2401,75.05,-215.445,172.03,48.1723,-0.36,883,0.91,447,-4.49
gcd,Ours alpha_8-beta_0.1,0.000294628,-8.86,0.000836334,-8.94,11,2,5,4,-50.0,-30.5088,82.64,-226.542,186.04,48.1286,-0.45,902,3.09,449,-4.06
gcd,SFTray alpha_16-beta_0.1,0.000284565,-11.97,0.000824619,-10.22,3,0,8,4,-50.0,-26.9797,61.52,-188.904,138.52,48.1577,-0.39,892,1.94,443,-5.34
gcd,Ours alpha_16-beta_0.1,0.000296603,-8.25,0.000850114,-7.44,9,3,5,4,-50.0,-31.1031,86.2,-256.171,223.46,48.2452,-0.21,927,5.94,449,-4.06
gcd,SFTray alpha_67-beta_0.1,0.000284565,-11.97,0.000824619,-10.22,3,0,8,4,-50.0,-26.9797,61.52,-188.904,138.52,48.1577,-0.39,892,1.94,443,-5.34
gcd,Ours alpha_67-beta_0.1,0.000296603,-8.25,0.000850114,-7.44,9,3,5,4,-50.0,-31.1031,86.2,-256.171,223.46,48.2452,-0.21,927,5.94,449,-4.06
gcd,SFTray alpha_130-beta_0.1,0.000284565,-11.97,0.000824619,-10.22,3,0,8,4,-50.0,-26.9797,61.52,-188.904,138.52,48.1577,-0.39,892,1.94,443,-5.34
gcd,Ours alpha_130-beta_0.1,0.000296603,-8.25,0.000850114,-7.44,9,3,5,4,-50.0,-31.1031,86.2,-256.171,223.46,48.2452,-0.21,927,5.94,449,-4.06
gcd,SFTray alpha_193-beta_0.1,0.000284565,-11.97,0.000824619,-10.22,3,0,8,4,-50.0,-26.9797,61.52,-188.904,138.52,48.1577,-0.39,892,1.94,443,-5.34
gcd,Ours alpha_193-beta_0.1,0.000296603,-8.25,0.000850114,-7.44,9,3,5,4,-50.0,-31.1031,86.2,-256.171,223.46,48.2452,-0.21,927,5.94,449,-4.06
gcd,SFTray alpha_256-beta_0.1,0.000284565,-11.97,0.000824619,-10.22,3,0,8,4,-50.0,-26.9797,61.52,-188.904,138.52,48.1577,-0.39,892,1.94,443,-5.34
gcd,Ours alpha_256-beta_0.1,0.000296603,-8.25,0.000850114,-7.44,9,3,5,4,-50.0,-31.1031,86.2,-256.171,223.46,48.2452,-0.21,927,5.94,449,-4.06
uart,NC,0.000806276,0.0,0.00233041,0.0,79,0,0,10,0.0,-28.1756,-0.0,-636.381,-0.0,95.2074,0.0,1455,0.0,854,0.0
uart,SFTray alpha_2-beta_0.1,0.000718423,-10.9,0.00213613,-8.34,14,17,8,6,-40.0,-22.5039,-20.13,-598.382,-5.97,93.1225,-2.19,1477,1.51,803,-5.97
uart,Ours alpha_2-beta_0.1,0.000734141,-8.95,0.0021463,-7.9,13,23,5,6,-40.0,-28.9935,2.9,-762.915,19.88,92.9329,-2.39,1518,4.33,801,-6.21
uart,SFTray alpha_4-beta_0.1,0.000705873,-12.45,0.00209779,-9.98,5,12,13,7,-30.0,-25.9248,-7.99,-681.38,7.07,93.7348,-1.55,1483,1.92,796,-6.79
uart,Ours alpha_4-beta_0.1,0.000700519,-13.12,0.00209482,-10.11,4,8,15,4,-60.0,-21.4876,-23.74,-698.301,9.73,92.4664,-2.88,1463,0.55,781,-8.55
