circuit,base,baseline a=2 (1b),baseline a=2 (2b),baseline a=2 (4b),modified a=2 (1b),modified a=2 (2b),modified a=2 (4b),baseline a=4 (1b),baseline a=4 (2b),baseline a=4 (4b),modified a=4 (1b),modified a=4 (2b),modified a=4 (4b),baseline a=8 (1b),baseline a=8 (2b),baseline a=8 (4b),modified a=8 (1b),modified a=8 (2b),modified a=8 (4b),baseline a=16 (1b),baseline a=16 (2b),baseline a=16 (4b),modified a=16 (1b),modified a=16 (2b),modified a=16 (4b),baseline a=67 (1b),baseline a=67 (2b),baseline a=67 (4b),modified a=67 (1b),modified a=67 (2b),modified a=67 (4b),baseline a=130 (1b),baseline a=130 (2b),baseline a=130 (4b),modified a=130 (1b),modified a=130 (2b),modified a=130 (4b),baseline a=193 (1b),baseline a=193 (2b),baseline a=193 (4b),modified a=193 (1b),modified a=193 (2b),modified a=193 (4b),baseline a=256 (1b),baseline a=256 (2b),baseline a=256 (4b),modified a=256 (1b),modified a=256 (2b),modified a=256 (4b)
aes,562,464,23,13,480,21,10,222,20,75,214,14,80,106,12,108,102,12,109,36,5,129,38,10,126,10,2,137,30,6,130,10,2,137,30,6,130,10,2,137,30,6,130,10,2,137,30,6,130
aes-block,518,468,9,8,482,6,6,296,15,48,300,29,40,118,6,97,122,16,91,30,4,120,62,6,111,4,1,128,30,4,120,4,1,128,30,4,120,4,1,128,30,4,120,4,1,128,30,4,120
aes-block_aes_rcon,12,4,4,0,10,1,0,0,4,1,8,2,0,0,2,2,8,2,0,0,0,3,8,2,0,0,0,3,8,2,0,0,0,3,8,2,0,0,0,3,8,2,0,0,0,3,8,2,0
aes-block_aes_sbox,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aes-mbff,,514,8,8,496,15,9,288,21,58,250,30,63,120,17,102,96,29,102,36,7,128,48,17,120,12,3,136,30,10,128,12,3,136,30,10,128,12,3,136,30,10,128,12,3,136,30,10,128
aes-mbff-tcc-v1,,514,8,8,496,15,9,288,21,58,250,30,63,120,17,102,96,29,102,36,7,128,48,17,120,12,3,136,30,10,128,12,3,136,30,10,128,12,3,136,30,10,128,12,3,136,30,10,128
aes_lvt,562,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0,562,0,0
cva6,,6715,740,385,0,0,0,6694,723,382,0,0,0,6686,668,374,0,0,0,6680,604,364,0,0,0,6678,309,365,0,0,0,6678,119,415,0,0,0,6678,68,427,0,0,0,6678,49,433,0,0,0
ethmac,10546,8106,364,428,8064,371,435,2970,214,1787,3030,246,1756,1396,31,2272,1380,35,2274,1340,19,2292,1330,26,2291,1312,11,2303,1300,19,2302,1312,11,2303,1300,19,2302,1312,11,2303,1298,20,2302,1312,11,2303,1298,20,2302
ethmac_lvt,10546,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0,10546,0,0
gcd,35,31,2,0,33,1,0,13,3,4,21,3,2,5,3,6,11,2,5,3,0,8,9,3,5,3,0,8,9,3,5,3,0,8,9,3,5,3,0,8,9,3,5,3,0,8,9,3,5
gcd-ccs,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibex,1939,1929,1,2,1931,0,2,1799,8,31,1801,5,32,1691,2,61,1693,1,61,1675,2,65,1677,1,65,1673,1,66,1673,1,66,1673,1,66,1673,1,66,1673,1,66,1673,1,66,1673,1,66,1673,1,66
jpeg,4383,3505,111,164,3457,129,167,1229,113,732,1215,114,735,365,49,980,301,41,1000,135,16,1054,109,11,1063,85,7,1071,87,6,1071,85,7,1071,87,6,1071,85,7,1071,87,6,1071,85,7,1071,87,6,1071
jpeg_lvt,4383,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0,4383,0,0
mock-alu,1413,1143,69,33,1107,73,40,403,51,227,387,43,235,59,9,334,63,11,332,21,4,346,31,5,343,13,0,350,17,4,347,13,0,350,23,5,345,13,0,350,23,1,347,13,0,350,17,4,347
mock-cpu,18680,9740,730,1870,0,0,0,1460,254,4178,0,0,0,312,34,4575,0,0,0,220,18,4606,0,0,0,216,18,4607,0,0,0,216,18,4607,0,0,0,216,18,4607,0,0,0,0,0,0,0,0,0
riscv32i,1056,920,8,30,896,16,32,324,18,174,312,26,173,56,4,248,56,4,248,42,1,253,44,2,252,40,2,253,38,3,253,40,2,253,38,3,253,40,2,253,38,3,253,40,2,253,38,3,253
riscv32i-mock-sram,1056,872,18,37,826,25,45,282,25,181,230,29,192,48,0,252,44,0,253,44,0,253,42,1,253,44,0,253,48,2,251,44,0,253,48,2,251,44,0,253,48,2,251,44,0,253,48,2,251
riscv32i-mock-sram_fakeram7_256x32,97,83,1,3,91,3,0,9,2,21,55,5,8,3,1,23,43,7,10,3,1,23,43,7,10,3,1,23,41,8,10,3,1,23,41,8,10,3,1,23,41,8,10,3,1,23,41,8,10
swerv_wrapper,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uart,79,14,17,8,13,23,5,5,12,13,4,8,15,0,0,20,1,1,19,0,0,20,1,1,19,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20
