circuit,base,baseline a=2,modified a=2,baseline a=4,modified a=4,baseline a=8,modified a=8,baseline a=16,modified a=16,baseline a=67,modified a=67,baseline a=130,modified a=130,baseline a=193,modified a=193,baseline a=256,modified a=256
aes,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562
aes-block,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
aes-block_aes_rcon,12,,,,,,,,,,,,,,,,
aes-block_aes_sbox,,,,,,,,,,,,,,,,,
aes-mbff,,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562
aes-mbff-tcc-v1,,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562
aes_lvt,562,,,,,,,,,,,,,,,,
cva6,,9735,,9668,,9518,,9344,,8756,,8576,,8522,,8508,
ethmac,10546,10546,10546,10546,10546,10546,10546,10546,10546,10546,10546,10546,10546,10546,10546,10546,10546
ethmac_lvt,10546,,,,,,,,,,,,,,,,
gcd,35,,,35,35,35,35,,35,,35,,35,,35,,35
gcd-ccs,35,,,,,,,,,,,,,,,,
ibex,1939,1939,,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939
jpeg,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383
jpeg_lvt,4383,,,,,,,,,,,,,,,,
mock-alu,1413,1413,1413,1413,1413,1413,1413,1413,1413,,1413,,1413,,1413,,1413
mock-cpu,18680,18680,,18680,,18680,,18680,,18680,,18680,,18680,,,
riscv32i,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056
riscv32i-mock-sram,1056,1056,1056,1056,1056,,,,1056,,1056,,1056,,1056,,1056
riscv32i-mock-sram_fakeram7_256x32,97,97,,97,97,97,97,97,97,97,97,97,97,97,97,97,97
swerv_wrapper,,,,,,,,,,,,,,,,,
uart,79,80,79,81,80,,79,,79,,,,,,,,
