design,flow,comb_power,switching_power,tot_power,#1-bit FFs,#2-bit FFs,#4-bit FFs,#clk bufs,WNS,TNS,area,WL,#inst
aes,base,0.0672631,0.098881,0.166145,562,0,0,46,-10.2587,-103.069,1838.64,57850,17106
aes,baseline alpha_2-beta_0.1,0.0670645,0.0987367,0.165802,464,23,13,48,-23.187,-699.813,1834.24,57724,16992
aes,modified alpha_2-beta_0.1,0.0682437,0.0995119,0.167757,480,21,10,39,-14.9628,-367.061,1855.73,58420,17195
aes,baseline alpha_4-beta_0.1,0.0674188,0.0992009,0.166621,222,20,75,30,-31.9393,-1835.35,1852.87,58437,16998
aes,modified alpha_4-beta_0.1,0.0676889,0.0993553,0.167045,214,14,80,26,-36.5118,-1884.14,1855.89,58334,17025
aes,baseline alpha_8-beta_0.1,0.0672969,0.0991484,0.166447,106,12,108,24,-33.9754,-2052,1853.06,58460,16914
aes,modified alpha_8-beta_0.1,0.0674897,0.0992437,0.166735,102,12,109,23,-36.2374,-2017.41,1854.81,58417,16953
aes,baseline alpha_16-beta_0.1,0.066963,0.0991418,0.166106,36,5,129,19,-35.3196,-2639.89,1850.17,58557,16828
aes,modified alpha_16-beta_0.1,0.0676298,0.0994995,0.167131,38,10,126,20,-32.8871,-2117.12,1862,58907,16932
aes,baseline alpha_67-beta_0.1,0.0676285,0.0993722,0.167002,10,2,137,27,-39.2564,-2472.98,1867.57,58856,16926
aes,modified alpha_67-beta_0.1,0.0673084,0.0992604,0.16657,30,6,130,20,-51.5677,-2726.21,1857.45,58466,16892
aes,baseline alpha_130-beta_0.1,0.0676285,0.0993722,0.167002,10,2,137,27,-39.2564,-2472.98,1867.57,58856,16926
aes,modified alpha_130-beta_0.1,0.0673084,0.0992604,0.16657,30,6,130,20,-51.5677,-2726.21,1857.45,58466,16892
aes,baseline alpha_193-beta_0.1,0.0676285,0.0993722,0.167002,10,2,137,27,-39.2564,-2472.98,1867.57,58856,16926
aes,modified alpha_193-beta_0.1,0.0673084,0.0992604,0.16657,30,6,130,20,-51.5677,-2726.21,1857.45,58466,16892
aes,baseline alpha_256-beta_0.1,0.0676285,0.0993722,0.167002,10,2,137,27,-39.2564,-2472.98,1867.57,58856,16926
aes,modified alpha_256-beta_0.1,0.0673084,0.0992604,0.16657,30,6,130,20,-51.5677,-2726.21,1857.45,58466,16892
aes-block,base,0.00477765,0.00259574,0.00737384,518,0,0,54,-22.1191,-350.034,6264.03,44741,8986
aes-block,baseline alpha_2-beta_0.1,0.00470632,0.0025466,0.00725336,468,9,8,50,-25.7345,-681.493,6261.64,44844,8894
aes-block,modified alpha_2-beta_0.1,0.00467264,0.00256572,0.00723881,482,6,6,50,-27.622,-560.77,6261.91,44820,8936
aes-block,baseline alpha_4-beta_0.1,0.00420461,0.00233343,0.00653848,296,15,48,44,-34.2564,-946.923,6263.04,44883,8870
aes-block,modified alpha_4-beta_0.1,0.00426151,0.00233067,0.00659261,300,29,40,47,-49.0286,-1360.14,6257.95,45246,8806
aes-block,baseline alpha_8-beta_0.1,0.00382026,0.00215511,0.0059758,118,6,97,36,-47.9182,-3035.48,6255.49,44812,8635
aes-block,modified alpha_8-beta_0.1,0.00383395,0.00213561,0.00596999,122,16,91,34,-49.53,-2059.61,6256.5,45376,8671
aes-block,baseline alpha_16-beta_0.1,0.00366462,0.00202426,0.0056893,30,4,120,33,-63.3266,-3802.37,6249.25,44979,8517
